# freq_THz  G_total_s  G_B_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
5.9814453125e+01 2.4795740169e-05 1.0511252237e-05 2.2449867357e-06 1.2039501196e-05
6.0058593750e+01 2.3147834374e-05 1.0007400647e-05 2.0026967864e-06 1.1137736941e-05
6.0302734375e+01 2.1851656826e-05 9.6820553508e-06 1.7947710254e-06 1.0374830450e-05
6.0546875000e+01 2.0780259718e-05 9.4859893915e-06 1.6114075520e-06 9.6828627747e-06
6.0791015625e+01 1.9875818977e-05 9.3885559372e-06 1.4469817935e-06 9.0402812461e-06
6.1035156250e+01 1.9164453186e-05 9.3825214604e-06 1.3022271414e-06 8.4797045842e-06
6.1279296875e+01 1.8729325234e-05 9.4934208953e-06 1.1810215007e-06 8.0548828379e-06
6.1523437500e+01 1.8638474571e-05 9.7606093897e-06 1.0846114757e-06 7.7932537058e-06
6.1767578125e+01 1.8890701780e-05 1.0200959010e-05 1.0097113279e-06 7.6800314417e-06
6.2011718750e+01 1.9412996513e-05 1.0786892970e-05 9.5132344010e-07 7.6747801031e-06
6.2255859375e+01 2.0107901930e-05 1.1464947881e-05 9.0567095490e-07 7.7372830939e-06
6.2500000000e+01 2.0931242045e-05 1.2211647393e-05 8.7035156387e-07 7.8492430882e-06
6.2744140625e+01 2.1935524172e-05 1.3068682400e-05 8.4354780571e-07 8.0232939669e-06
6.2988281250e+01 2.3216907256e-05 1.4103402295e-05 8.2419417023e-07 8.2893107917e-06
6.3232421875e+01 2.4811949694e-05 1.5336400217e-05 8.1179673408e-07 8.6637527434e-06
6.3476562500e+01 2.6655685616e-05 1.6718951264e-05 8.0559893133e-07 9.1311354203e-06
