# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
6.7626953125e+01 1.1261519764e-06 2.9942676775e-07 8.2672520863e-07
6.7871093750e+01 1.0666639763e-06 2.8214059147e-07 7.8452338480e-07
6.8115234375e+01 9.7991514139e-07 2.5771895329e-07 7.2219618810e-07
6.8359375000e+01 8.5014559468e-07 2.2378120478e-07 6.2636438990e-07
6.8603515625e+01 6.9342905162e-07 1.8457026675e-07 5.0885878487e-07
6.8847656250e+01 5.5102766276e-07 1.5114789395e-07 3.9987976881e-07
6.9091796875e+01 4.3262983044e-07 1.2339513775e-07 3.0923469269e-07
6.9335937500e+01 3.5075522440e-07 1.0593543276e-07 2.4481979164e-07
6.9580078125e+01 2.9694206625e-07 9.4672825221e-08 2.0226924102e-07
6.9824218750e+01 2.6586666225e-07 8.7874568870e-08 1.7799209338e-07
7.0068359375e+01 2.4831078369e-07 8.4520348718e-08 1.6379043497e-07
7.0312500000e+01 2.4111106535e-07 8.3932560783e-08 1.5717850457e-07
7.0556640625e+01 2.4014763614e-07 8.5282675165e-08 1.5486496098e-07
7.0800781250e+01 2.4327880430e-07 8.8398291813e-08 1.5488051249e-07
7.1044921875e+01 2.4685158138e-07 9.1382095583e-08 1.5546948579e-07
7.1289062500e+01 2.5443451489e-07 9.5624072665e-08 1.5881044223e-07
7.1533203125e+01 2.6433799587e-07 1.0086371465e-07 1.6347428123e-07
7.1777343750e+01 2.7434206256e-07 1.0635644413e-07 1.6798561843e-07
7.2021484375e+01 2.8534257007e-07 1.1191100331e-07 1.7343156675e-07
7.2265625000e+01 2.9304771892e-07 1.1578356218e-07 1.7726415674e-07
7.2509765625e+01 2.9868686485e-07 1.1859638771e-07 1.8009047714e-07
7.2753906250e+01 3.0153292393e-07 1.2001229940e-07 1.8152062453e-07
7.2998046875e+01 3.0673118677e-07 1.2218928344e-07 1.8454190333e-07
7.3242187500e+01 3.0905369683e-07 1.2331600897e-07 1.8573768786e-07
7.3486328125e+01 3.0967440797e-07 1.2298271205e-07 1.8669169592e-07
7.3730468750e+01 3.1432247042e-07 1.2455825530e-07 1.8976421512e-07
7.3974609375e+01 3.2107432941e-07 1.2744357059e-07 1.9363075881e-07
7.4218750000e+01 3.3357941528e-07 1.3113660955e-07 2.0244280573e-07
7.4462890625e+01 3.4629930065e-07 1.3628020829e-07 2.1001909236e-07
7.4707031250e+01 3.5834043108e-07 1.4161658297e-07 2.1672384811e-07
7.4951171875e+01 3.7078361951e-07 1.4601057553e-07 2.2477304398e-07
7.5195312500e+01 3.7553706090e-07 1.4798512829e-07 2.2755193261e-07
7.5439453125e+01 3.7365609540e-07 1.4743366244e-07 2.2622243296e-07
7.5683593750e+01 3.6723848922e-07 1.4486544805e-07 2.2237304117e-07
7.5927734375e+01 3.5275053692e-07 1.3943003821e-07 2.1332049871e-07
7.6171875000e+01 3.2871019059e-07 1.3034741502e-07 1.9836277557e-07
7.6416015625e+01 2.9557760194e-07 1.1723734472e-07 1.7834025722e-07
7.6660156250e+01 2.6194289391e-07 1.0387011094e-07 1.5807278297e-07
7.6904296875e+01 2.3056848606e-07 9.0724100088e-08 1.3984438598e-07
7.7148437500e+01 2.0515622692e-07 8.0005108735e-08 1.2515111818e-07
7.7392578125e+01 1.8540622935e-07 7.1630804827e-08 1.1377542452e-07
7.7636718750e+01 1.7163078239e-07 6.5417823573e-08 1.0621295882e-07
7.7880859375e+01 1.6259996195e-07 6.1638362248e-08 1.0096159971e-07
7.8125000000e+01 1.5799344694e-07 5.9785832857e-08 9.8207614083e-08
7.8369140625e+01 1.5685050899e-07 5.8984791276e-08 9.7865717713e-08
7.8613281250e+01 1.5760624894e-07 5.9246332379e-08 9.8359916562e-08
7.8857421875e+01 1.5230776123e-07 5.7316070925e-08 9.4991690301e-08
7.9101562500e+01 1.3938957180e-07 5.2155746378e-08 8.7233825425e-08
7.9345703125e+01 1.1786058711e-07 4.4046340243e-08 7.3814246865e-08
7.9589843750e+01 9.4486846344e-08 3.5569859363e-08 5.8916986981e-08
7.9833984375e+01 7.3604709490e-08 2.8030217526e-08 4.5574491963e-08
