# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
1.8981933594e+01 8.6998866575e-03 9.5589154386e-04 7.7439951136e-03
1.9042968750e+01 1.0543044700e-02 1.0003542477e-03 9.5426904521e-03
1.9104003906e+01 1.2964279034e-02 1.0600239441e-03 1.1904255090e-02
1.9165039062e+01 1.6090397157e-02 1.1391580798e-03 1.4951239077e-02
1.9226074219e+01 2.0053017458e-02 1.2429438610e-03 1.8810073597e-02
1.9287109375e+01 2.4976723568e-02 1.3772220906e-03 2.3599501477e-02
1.9348144531e+01 3.0969066302e-02 1.5485145271e-03 2.9420551775e-02
1.9409179688e+01 3.8108321064e-02 1.7638674211e-03 3.6344453643e-02
1.9470214844e+01 4.6431698363e-02 2.0306474066e-03 4.4401050956e-02
1.9531250000e+01 5.5923787218e-02 2.3560703214e-03 5.3567716896e-02
1.9592285156e+01 6.6510533137e-02 2.7469858901e-03 6.3763547247e-02
1.9653320312e+01 7.8056925195e-02 3.2095353288e-03 7.4847389867e-02
1.9714355469e+01 9.0370294136e-02 3.7488650336e-03 8.6621429102e-02
1.9775390625e+01 1.0320922940e-01 4.3687771461e-03 9.8840452250e-02
1.9836425781e+01 1.1629644396e-01 5.0713490730e-03 1.1122509489e-01
1.9897460938e+01 1.2933786154e-01 5.8570830567e-03 1.2348077848e-01
1.9958496094e+01 1.4204380931e-01 6.7250630997e-03 1.3531874621e-01
